Brand Name,Policy Name,Cashless Hospitals,Coverage Amount,Monthly Premium,Annual Premium,Claim Settlement Ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹1 Cr,"₹1,659/month","₹19,908 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹1 Cr,"₹1,709/month","₹5,128 for 3 months",93 % claim settlement ratio
Care Health,Care Advantage,15,₹1 Cr,"₹1,397/month","₹16,761 / Year",93 % claim settlement ratio
Care Health,Care Advantage with NCB,15,₹1 Cr,"₹1,501/month","₹18,017 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹1 Cr,"₹1,397/month","₹16,761 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹1 Cr,"₹2,470/month","₹29,642 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹1 Cr,"₹2,189/month","₹26,267 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹1 Cr,"₹2,470/month","₹29,642 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹1 Cr,"₹1,936/month","₹23,231 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹1 Cr,"₹2,048/month","₹24,579 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹1 Cr,"₹2,045/month","₹24,536 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹1 Cr,"₹2,213/month","₹26,556 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹1 Cr,"₹2,877/month","₹34,523 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹1 Cr,"₹1,590/month","₹19,081 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹1 Cr,"₹2,299/month","₹27,584 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹1 Cr,"₹2,356/month","₹28,266 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹1 Cr,"₹2,158/month","₹25,894 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Gold + (Direct),16,₹1 Cr,"₹1,803/month","₹21,638 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Diamond + (Direct),16,₹1 Cr,"₹2,031/month","₹24,377 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Platinum + (Direct),16,₹1 Cr,"₹2,236/month","₹26,833 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Titanium + (Direct),16,₹1 Cr,"₹2,250/month","₹27,000 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹1 Cr,"₹2,594/month","₹31,130 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹1 Cr,"₹2,789/month","₹33,465 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Platinum,16,₹1 Cr,"₹5,302/month","₹63,627 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹1 Cr,"₹1,679/month","₹20,142 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹1 Cr,"₹2,015/month","₹24,182 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹1 Cr,"₹1,670/month","₹20,039 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹1 Cr,"₹2,530/month","₹30,362 / Year",99.80 % claim settlement ratio
