Brand Name,Policy Name,Cashless Hospitals,Coverage Amount,Monthly Premium,Annual Premium,Claim Settlement Ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹15 Lac,₹998/month,"₹11,970 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹15 Lac,"₹1,028/month","₹3,084 for 3 months",93 % claim settlement ratio
Care Health,Care Advantage,15,₹25 Lac,₹926/month,"₹11,109 / Year",93 % claim settlement ratio
Care Health,Care with Care Shield,15,₹15 Lac,"₹1,812/month","₹21,745 / Year",93 % claim settlement ratio
Care Health,Care Advantage with NCB,15,₹25 Lac,"₹1,018/month","₹12,219 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹25 Lac,₹949/month,"₹11,386 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹25 Lac,"₹1,483/month","₹17,801 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹15 Lac,₹990/month,"₹11,880 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹15 Lac,"₹1,102/month","₹13,223 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹15 Lac,"₹1,167/month","₹14,008 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹15 Lac,"₹1,404/month","₹16,845 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Gold,16,₹15 Lac,"₹1,379/month","₹16,550 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Silver,16,₹15 Lac,"₹1,289/month","₹15,468 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹15 Lac,"₹1,825/month","₹21,898 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹15 Lac,₹920/month,"₹11,043 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹15 Lac,"₹1,361/month","₹16,326 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹15 Lac,"₹1,112/month","₹13,348 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹15 Lac,"₹1,196/month","₹14,349 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Gold,16,₹15 Lac,"₹2,067/month","₹24,801 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹15 Lac,₹986/month,"₹11,828 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹15 Lac,"₹1,084/month","₹13,012 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹15 Lac,"₹1,021/month","₹12,249 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹15 Lac,"₹1,289/month","₹15,469 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹15 Lac,"₹1,289/month","₹15,469 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹15 Lac,"₹1,320/month","₹15,840 / Year",99.80 % claim settlement ratio
