Brand Name,Policy Name,Cashless Hospitals,Coverage Amount,Monthly Premium,Annual Premium,Claim Settlement Ratio
Care Health,Care Supreme VFM Discounted,15,₹5 Lac,₹581/month,"₹6,969 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹5 Lac,₹732/month,"₹8,783 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹5 Lac,₹755/month,"₹2,264 for 3 months",93 % claim settlement ratio
Care Health,Care Freedom,15,₹5 Lac,₹589/month,"₹7,062 / Year",93 % claim settlement ratio
Care Health,Care Heart,15,₹5 Lac,₹956/month,"₹11,469 / Year",93 % claim settlement ratio
Care Health,Care Freedom with Health Check Plus,15,₹5 Lac,₹589/month,"₹7,062 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹5 Lac,₹625/month,"₹7,497 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹5 Lac,₹740/month,"₹8,876 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹5 Lac,₹683/month,"₹8,192 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹5 Lac,₹794/month,"₹9,529 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Gold,16,₹5 Lac,₹884/month,"₹10,609 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Silver,16,₹5 Lac,₹826/month,"₹9,915 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹5 Lac,"₹1,032/month","₹12,388 / Year",85.80 % claim settlement ratio
Star Health,Diabetes Safe Plan-A,16,₹5 Lac,"₹1,764/month","₹21,167 / Year",85.80 % claim settlement ratio
Star Health,Diabetes Safe Plan-B,16,₹5 Lac,"₹2,004/month","₹24,053 / Year",85.80 % claim settlement ratio
Star Health,Arogya Sanjivini Individual,16,₹5 Lac,₹533/month,"₹6,396 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹5 Lac,₹618/month,"₹7,417 / Year",85.80 % claim settlement ratio
