Brand Name,Policy Name,Cashless Hospitals,Coverage Amount,Monthly Premium,Annual Premium,Claim Settlement Ratio
Star Health,Mediclassic Individual Silver,16,₹1.5 Lac,₹432/month,"₹5,189 / Year",85.80 % claim settlement ratio
Star Health,Arogya Sanjivini Individual,16,₹1 Lac,₹382/month,"₹4,578 / Year",85.80 % claim settlement ratio
Star Health,Out Patient Care Platinum,16,₹1 Lac,"₹1,236/month","₹14,827 / Year",85.80 % claim settlement ratio
Star Health,Out Patient Care Gold,16,₹1 Lac,"₹1,172/month","₹14,066 / Year",85.80 % claim settlement ratio
Star Health,Out Patient Care Silver,16,₹1 Lac,"₹1,019/month","₹12,231 / Year",85.80 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio
New India Assurance,New India Mediclaim 2012,16,₹1 Lac,₹436/month,"₹5,237 / Year",98 % claim settlement ratio
New India Assurance,Aarogya sanjeevani,16,₹1 Lac,₹374/month,"₹4,490 / Year",98 % claim settlement ratio
Royal Sundaram,Lifeline Classic,15,₹2 Lac,₹615/month,"₹7,374 / Year",92 % claim settlement ratio
IFFCO Tokio,Individual Health Protector,12,₹1.5 Lac,₹413/month,"₹4,958 / Year",98.90 % claim settlement ratio
