Brand Name,Policy Name,Cashless Hospitals,Coverage Amount,Monthly Premium,Annual Premium,Claim Settlement Ratio
Care Health,Care Supreme VFM Discounted,15,₹10 Lac,₹672/month,"₹8,061 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹10 Lac,₹839/month,"₹10,063 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹10 Lac,₹864/month,"₹2,593 for 3 months",93 % claim settlement ratio
Care Health,Care Heart,15,₹10 Lac,"₹1,347/month","₹16,161 / Year",93 % claim settlement ratio
Care Health,Care with Care Shield,15,₹10 Lac,"₹1,481/month","₹17,775 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹10 Lac,₹814/month,"₹9,767 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹10 Lac,₹926/month,"₹11,117 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹10 Lac,₹922/month,"₹11,059 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹10 Lac,"₹1,158/month","₹13,895 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Gold,16,₹10 Lac,"₹1,149/month","₹13,792 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Silver,16,₹10 Lac,"₹1,074/month","₹12,889 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹10 Lac,"₹1,505/month","₹18,063 / Year",85.80 % claim settlement ratio
Star Health,Diabetes Safe Plan-A,16,₹10 Lac,"₹2,121/month","₹25,448 / Year",85.80 % claim settlement ratio
Star Health,Diabetes Safe Plan-B,16,₹10 Lac,"₹2,305/month","₹27,660 / Year",85.80 % claim settlement ratio
Star Health,Arogya Sanjivini Individual,16,₹10 Lac,₹713/month,"₹8,555 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹10 Lac,₹761/month,"₹9,137 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹10 Lac,"₹1,072/month","₹12,868 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹10 Lac,"₹1,101/month","₹13,213 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹10 Lac,₹984/month,"₹11,810 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Gold + (Direct),16,₹10 Lac,₹746/month,"₹8,950 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Diamond + (Direct),16,₹10 Lac,₹847/month,"₹10,169 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Platinum + (Direct),16,₹10 Lac,₹964/month,"₹11,562 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Titanium + (Direct),16,₹10 Lac,₹969/month,"₹11,632 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹10 Lac,"₹1,000/month","₹11,999 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹10 Lac,"₹1,365/month","₹16,383 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Gold,16,₹10 Lac,"₹1,840/month","₹22,081 / Year",92 % claim settlement ratio
Niva Bupa,Health Pulse,16,₹10 Lac,₹732/month,"₹8,778 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹10 Lac,₹773/month,"₹9,281 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹10 Lac,₹880/month,"₹10,557 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum Essential - Waiver of mandatory co-payment,14,₹10 Lac,₹855/month,"₹10,259 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹10 Lac,₹845/month,"₹10,142 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹10 Lac,"₹1,089/month","₹13,071 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹10 Lac,"₹1,123/month","₹13,479 / Year",99.80 % claim settlement ratio
