Brand Name,Policy Name,Cashless Hospitals,Coverage Amount,Monthly Premium,Annual Premium,Claim Settlement Ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹25 Lac,"₹1,170/month","₹14,044 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹25 Lac,"₹1,206/month","₹3,618 for 3 months",93 % claim settlement ratio
Care Health,Care Advantage,15,₹25 Lac,₹926/month,"₹11,109 / Year",93 % claim settlement ratio
Care Health,Care with Care Shield,15,₹25 Lac,"₹2,134/month","₹25,604 / Year",93 % claim settlement ratio
Care Health,Care Advantage with NCB,15,₹25 Lac,"₹1,018/month","₹12,219 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹25 Lac,₹949/month,"₹11,386 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹25 Lac,"₹1,483/month","₹17,801 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹25 Lac,"₹1,673/month","₹20,076 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹25 Lac,"₹1,293/month","₹15,512 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹25 Lac,"₹1,405/month","₹16,855 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹25 Lac,"₹1,442/month","₹17,300 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹25 Lac,"₹1,732/month","₹20,786 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Gold,16,₹25 Lac,"₹1,776/month","₹21,317 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹25 Lac,"₹2,252/month","₹27,022 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹25 Lac,"₹1,134/month","₹13,606 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹25 Lac,"₹1,517/month","₹18,208 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Gold + (Direct),16,₹25 Lac,"₹1,102/month","₹13,227 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Diamond + (Direct),16,₹25 Lac,"₹1,256/month","₹15,071 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Platinum + (Direct),16,₹25 Lac,"₹1,410/month","₹16,915 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Titanium + (Direct),16,₹25 Lac,"₹1,418/month","₹17,018 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹30 Lac,"₹1,699/month","₹20,383 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹30 Lac,"₹1,522/month","₹18,261 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Gold,16,₹30 Lac,"₹2,261/month","₹27,135 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹25 Lac,"₹1,095/month","₹13,141 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹25 Lac,"₹1,191/month","₹14,289 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹25 Lac,"₹1,183/month","₹14,195 / Year",99.80 % claim settlement ratio
