Brand Name,Policy Name,Cashless Hospitals,Coverage Amount,Monthly Premium,Annual Premium,Claim Settlement Ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹50 Lac,"₹1,318/month","₹15,818 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹50 Lac,"₹1,358/month","₹4,075 for 3 months",93 % claim settlement ratio
Care Health,Care Advantage,15,₹50 Lac,"₹1,077/month","₹12,923 / Year",93 % claim settlement ratio
Care Health,Care with Care Shield,15,₹50 Lac,"₹5,511/month","₹66,131 / Year",93 % claim settlement ratio
Care Health,Care Advantage with NCB,15,₹50 Lac,"₹1,158/month","₹13,892 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹50 Lac,"₹1,265/month","₹15,183 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹50 Lac,"₹2,110/month","₹25,325 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹50 Lac,"₹1,889/month","₹22,669 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹50 Lac,"₹2,110/month","₹25,325 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹50 Lac,"₹1,541/month","₹18,494 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹50 Lac,"₹1,653/month","₹19,837 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹50 Lac,"₹1,685/month","₹20,223 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹50 Lac,"₹1,906/month","₹22,868 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹50 Lac,"₹2,477/month","₹29,729 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹50 Lac,"₹1,293/month","₹15,518 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹50 Lac,"₹1,686/month","₹20,226 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹50 Lac,"₹1,726/month","₹20,709 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹50 Lac,"₹1,575/month","₹18,897 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Gold + (Direct),16,₹50 Lac,"₹1,361/month","₹16,331 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Diamond + (Direct),16,₹50 Lac,"₹1,548/month","₹18,580 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Platinum + (Direct),16,₹50 Lac,"₹1,737/month","₹20,839 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Titanium + (Direct),16,₹50 Lac,"₹1,747/month","₹20,967 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹50 Lac,"₹1,695/month","₹20,344 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹50 Lac,"₹2,187/month","₹26,244 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Gold,16,₹50 Lac,"₹2,363/month","₹28,359 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹50 Lac,"₹1,317/month","₹15,801 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹50 Lac,"₹1,709/month","₹20,502 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹50 Lac,"₹1,437/month","₹17,243 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹50 Lac,"₹2,061/month","₹24,730 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹50 Lac,"₹2,061/month","₹24,730 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹50 Lac,"₹2,092/month","₹25,100 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹50 Lac,"₹2,092/month","₹25,100 / Year",99.80 % claim settlement ratio
Reliance,Health Gain Prime,15,₹50 Lac,"₹1,497/month","₹17,958 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Time,15,₹50 Lac,"₹1,573/month","₹18,879 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Global,15,₹50 Lac,"₹1,573/month","₹18,879 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Cover,15,₹50 Lac,"₹1,573/month","₹18,879 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio
Royal Sundaram,Lifeline Supreme,15,₹50 Lac,"₹1,420/month","₹17,042 / Year",92 % claim settlement ratio
Royal Sundaram,Lifeline Elite,15,₹50 Lac,"₹4,943/month","₹59,319 / Year",92 % claim settlement ratio
Universal Sompo,A Plus Silver,20,₹50 Lac,"₹1,458/month","₹17,499 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold,20,₹50 Lac,"₹1,510/month","₹18,125 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond,20,₹50 Lac,"₹1,706/month","₹20,473 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Executive,20,₹50 Lac,"₹1,877/month","₹22,526 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹50 Lac,"₹1,517/month","₹18,207 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹50 Lac,"₹1,569/month","₹18,833 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹50 Lac,"₹1,765/month","₹21,181 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹50 Lac,"₹1,750/month","₹21,004 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹50 Lac,"₹1,802/month","₹21,629 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹50 Lac,"₹1,998/month","₹23,978 / Year",96 % claim settlement ratio
Digit Insurance,Double Wallet Plan,10,₹50 Lac,"₹1,409/month","₹16,909 / Year",96 % claim settlement ratio
Digit Insurance,Infinity Wallet Plan,10,₹50 Lac,"₹1,689/month","₹20,262 / Year",96 % claim settlement ratio
Digit Insurance,Worldwide Treatment plan,10,₹50 Lac,"₹2,446/month","₹29,349 / Year",96 % claim settlement ratio
