Brand Name,Policy Name,Cashless Hospitals,Coverage Amount,Monthly Premium,Annual Premium,Claim Settlement Ratio
Care Health,Care Supreme VFM Discounted,15,₹7 Lac,₹603/month,"₹7,232 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹7 Lac,₹757/month,"₹9,084 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹7 Lac,₹780/month,"₹2,341 for 3 months",93 % claim settlement ratio
Care Health,Care Heart,15,₹7 Lac,"₹1,220/month","₹14,635 / Year",93 % claim settlement ratio
Care Health,Care with Care Shield,15,₹7 Lac,"₹1,374/month","₹16,489 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹10 Lac,₹814/month,"₹9,767 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹10 Lac,₹926/month,"₹11,117 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹10 Lac,₹922/month,"₹11,059 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹7.5 Lac,₹996/month,"₹11,948 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Gold,16,₹10 Lac,"₹1,149/month","₹13,792 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Silver,16,₹10 Lac,"₹1,074/month","₹12,889 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹7.5 Lac,"₹1,294/month","₹15,532 / Year",85.80 % claim settlement ratio
Star Health,Diabetes Safe Plan-A,16,₹10 Lac,"₹2,121/month","₹25,448 / Year",85.80 % claim settlement ratio
Star Health,Diabetes Safe Plan-B,16,₹10 Lac,"₹2,305/month","₹27,660 / Year",85.80 % claim settlement ratio
Star Health,Arogya Sanjivini Individual,16,₹7 Lac,₹616/month,"₹7,393 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹10 Lac,₹761/month,"₹9,137 / Year",85.80 % claim settlement ratio
