Brand Name,Policy Name,Cashless Hospitals,Coverage Amount,Monthly Premium,Annual Premium,Claim Settlement Ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹3 Cr,"₹4,577/month","₹54,927 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹3 Cr,"₹3,893/month","₹46,716 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹3 Cr,"₹4,577/month","₹54,927 / Year",93 % claim settlement ratio
Niva Bupa,Health Premia Platinum,16,₹3 Cr,"₹6,208/month","₹74,497 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹3 Cr,"₹2,185/month","₹26,221 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹3 Cr,"₹2,011/month","₹24,136 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹3 Cr,"₹3,122/month","₹37,458 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹3 Cr,"₹3,122/month","₹37,458 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹3 Cr,"₹3,152/month","₹37,829 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹3 Cr,"₹3,152/month","₹37,829 / Year",99.80 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹3 Cr,"₹3,287/month","₹39,448 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹3 Cr,"₹1,655/month","₹19,864 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹3 Cr,"₹1,679/month","₹20,143 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹3 Cr,"₹1,648/month","₹19,772 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹3 Cr,"₹3,264/month","₹39,169 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹3 Cr,"₹3,256/month","₹39,076 / Year",93.4 % claim settlement ratio
